;acid;atom;baby;ball;band;bear;bell;bike;bird;boat;body;bomb;bone;book;bush;card;cash;chat;city;coat;coin;cold;crab;data;deck;deer;disc;door;draw;drum;face;fire;fish;flag;foot;fort;frog;game;gate;gear;girl;goat;gold;golf;hair;hand;head;hero;hill;holy;idea;iron;jump;king;leaf;lime;lion;lock;love;luck;mail;meat;milk;moon;nest;nose;ogre;park;peak;pill;pipe;plug;pond;pony;pool;quiz;rail;rain;ring;road;rock;rose;sand;seal;ship;shoe;snow;sock;song;star;tank;time;tree;vase;wall;warm;wave;well;wind;wolf;wood;xray;yarn;zero
acid;;7 : amid-amin-amen-mean-moan-moat-atom;5 : aced-abed-bade-babe-baby;5 : amid-maid-mail-bail-ball;4 : arid-raid-rand-band;4 : aced-abed-bead-bear;6 : amid-maid-mail-bail-ball-bell;5 : avid-diva-dive-dike-bike;4 : arid-grid-gird-bird;5 : aced-abed-abet-beat-boat;5 : aced-abed-bade-bode-body;6 : aced-cade-code-come-comb-bomb;5 : aced-abed-bade-bode-bone;6 : caid-card-cord-cork-cook-book;6 : aced-abed-bade-base-bash-bush;2 : caid-card;4 : aced-aces-case-cash;4 : caid-chid-chad-chat;5 : aced-cade-cate-cite-city;5 : aced-dace-tace-taco-coat;3 : caid-cain-coin;4 : caid-card-cord-cold;4 : caid-card-carb-crab;4 : avid-diva-dita-data;5 : aced-iced-dice-dick-deck;5 : aced-cade-cede-rede-deer;5 : caid-said-skid-disk-disc;6 : aced-cade-code-rode-doer-door;4 : caid-card-ward-draw;5 : arid-grid-grim-grum-drum;3 : aced-dace-face;5 : amid-amir-emir-mire-fire;6 : aced-aces-case-cash-fash-fish;6 : arid-grid-grad-drag-frag-flag;6 : caid-card-fard-ford-food-foot;5 : caid-card-fard-ford-fort;5 : arid-grid-grig-frig-frog;4 : aced-cade-came-game;4 : aced-cade-cate-gate;4 : aced-aged-ager-gear;4 : arid-grid-gird-girl;5 : arid-grid-grad-goad-goat;5 : arid-grid-grad-goad-gold;6 : arid-grid-grad-goad-gold-golf;4 : amid-amir-mair-hair;4 : arid-raid-rand-hand;4 : aced-abed-bead-head;5 : caid-card-hard-herd-hero;5 : arid-aril-rial-rill-hill;6 : aced-cade-hade-hale-hole-holy;5 : aced-iced-ices-ides-idea;5 : caid-cain-coin-icon-iron;6 : amid-amir-rami-ramp-rump-jump;5 : amid-amin-akin-kina-king;5 : arid-aril-liar-lear-leaf;5 : amid-amir-emir-rime-lime;5 : caid-laid-lain-loin-lion;5 : aced-dace-lace-lack-lock;5 : avid-diva-dive-live-love;5 : aced-dace-lace-luce-luck;3 : amid-maid-mail;5 : amid-amin-amen-mean-meat;5 : amid-amin-mina-mink-milk;5 : caid-cain-coin-coon-moon;6 : aced-abed-abet-beat-neat-nest;5 : aced-aces-anes-ones-nose;5 : aced-aged-agee-ogee-ogre;4 : caid-paid-pard-park;5 : aced-abed-bead-beak-peak;5 : arid-aril-rial-pial-pill;5 : aced-iced-dice-pice-pipe;7 : amid-maid-maud-maul-alum-plum-plug;6 : arid-raid-rand-band-bond-pond;6 : amid-amin-ayin-pyin-piny-pony;6 : amid-maid-mail-moil-mool-pool;4 : caid-qaid-quid-quiz;3 : arid-aril-rail;3 : arid-raid-rain;4 : arid-grid-grin-ring;5 : arid-grid-grad-orad-road;5 : aced-dace-race-rack-rock;5 : aced-aces-ares-ores-rose;3 : caid-said-sand;4 : aced-aces-ales-seal;4 : caid-chid-chip-ship;6 : aced-aped-sped-shed-shod-shoe;6 : aced-awed-owed-owes-owns-snow;6 : aced-iced-ices-sice-sick-sock;5 : caid-said-sand-sang-song;5 : aced-aces-ares-arts-star;5 : arid-raid-rand-rank-tank;5 : amid-amir-emir-emit-time;5 : aced-awed-awee-twee-tree;4 : aced-aces-aves-vase;5 : amid-maid-mail-wail-wall;4 : caid-card-ward-warm;4 : aced-awed-wade-wave;6 : amid-maid-mail-wail-wall-well;5 : amid-amin-mina-mind-wind;6 : caid-card-ward-word-wold-wolf;5 : caid-card-ward-word-wood;5 : arid-grid-grad-gray-xray;4 : caid-card-yard-yarn;6 : aced-cade-cede-cere-cero-zero
atom;;;6 : moat-boat-beat-bate-babe-baby;5 : moat-boat-bolt-boll-ball;6 : moat-boat-beat-bent-bend-band;4 : moat-boat-beat-bear;5 : moat-boat-beat-belt-bell;6 : moat-boat-beat-beak-bake-bike;6 : moat-boat-brat-brad-bard-bird;2 : moat-boat;5 : moat-boat-boas-bods-body;5 : moat-boat-boot-boob-bomb;5 : moat-boat-bolt-bole-bone;4 : moat-boat-boot-book;5 : moat-most-must-bust-bush;5 : moat-mort-mart-cart-card;5 : moat-coat-cost-cast-cash;3 : moat-coat-chat;5 : moat-mott-mitt-mity-city;2 : moat-coat;5 : moat-coat-coot-coon-coin;4 : moat-coat-colt-cold;5 : moat-doat-drat-drab-crab;4 : moat-doat-dato-data;6 : moat-boat-beat-beak-beck-deck;5 : moat-meat-meet-deet-deer;6 : moat-doat-dost-doss-diss-disc;4 : moat-moot-moor-door;4 : moat-doat-drat-draw;5 : moat-doat-drat-dram-drum;5 : moat-coat-taco-tace-face;5 : moat-mort-fort-fore-fire;5 : moat-most-mist-fist-fish;5 : moat-boat-blat-flat-flag;3 : moat-moot-foot;3 : moat-mort-fort;6 : atop-stop-slop-flop-flog-frog;4 : moat-meat-tame-game;4 : moat-meat-mate-gate;5 : moat-boat-beat-bear-gear;6 : moat-goat-grat-grit-girt-girl;2 : moat-goat;4 : moat-goat-goad-gold;5 : moat-goat-goad-gold-golf;6 : moat-boat-boar-hoar-haar-hair;6 : moat-goat-gnat-tang-hang-hand;4 : moat-meat-heat-head;6 : moat-boat-boar-hoar-hoer-hero;5 : moat-molt-holt-hilt-hill;4 : moat-molt-holt-holy;7 : atop-stop-step-stem-item-idem-idea;6 : moat-mort-sort-sori-nori-iron;6 : moat-meat-tame-tamp-tump-jump;6 : moat-goat-gnat-tang-ting-king;5 : moat-meat-feat-feal-leaf;5 : moat-meat-meal-lame-lime;5 : moat-moot-loot-loon-lion;5 : moat-coat-coal-loca-lock;5 : moat-molt-volt-vole-love;6 : moat-coat-coal-loca-lock-luck;5 : moat-molt-malt-mall-mail;2 : moat-meat;4 : moat-molt-milt-milk;3 : moat-moot-moon;4 : moat-meat-neat-nest;5 : atop-stop-post-pose-nose;5 : moat-mort-more-gore-ogre;5 : moat-mort-port-part-park;4 : moat-meat-peat-peak;5 : moat-molt-milt-mill-pill;6 : atop-stop-tops-pops-pips-pipe;6 : atop-stop-slop-slog-slug-plug;5 : atop-stop-pots-pons-pond;5 : atop-stop-post-posy-pony;4 : moat-moot-mool-pool;6 : moat-doat-doit-duit-quit-quiz;6 : moat-coat-coal-coil-roil-rail;6 : moat-moan-koan-kaon-kain-rain;6 : moat-goat-gnat-gnar-rang-ring;4 : moat-doat-toad-road;5 : moat-moot-root-rook-rock;5 : atop-stop-post-pose-rose;6 : moat-goat-gnat-tang-sang-sand;4 : moat-meat-seat-seal;4 : atop-stop-shop-ship;4 : atop-stop-shop-shoe;4 : atop-stop-stow-snow;5 : moat-moot-soot-sook-sock;5 : moat-moas-mogs-nogs-song;5 : atop-stop-stob-stab-star;5 : moat-coat-taco-tack-tank;4 : moat-meat-tame-time;6 : moat-boat-brat-brae-bree-tree;5 : moat-most-mast-vast-vase;5 : moat-molt-malt-mall-wall;5 : moat-mort-wort-wart-warm;5 : moat-meat-tame-wame-wave;5 : moat-meat-melt-welt-well;6 : moat-meat-mead-mend-wend-wind;5 : moat-molt-mold-wold-wolf;4 : moat-moot-mood-wood;5 : moat-boat-brat-bray-xray;6 : moat-boat-brat-bran-barn-yarn;6 : moat-mort-more-core-cero-zero
baby;;;;3 : babe-bale-ball;3 : babe-bane-band;3 : babe-bare-bear;4 : babe-bale-ball-bell;3 : babe-bake-bike;4 : babe-bare-bard-bird;4 : babe-bate-beat-boat;4 : gaby-goby-doby-body;7 : gaby-goby-gobo-kobo-book-boob-bomb;3 : babe-bane-bone;5 : gaby-goby-gobo-kobo-book;4 : babe-base-bash-bush;4 : babe-bare-care-card;4 : babe-base-case-cash;6 : gaby-gabs-gats-hats-shat-chat;5 : babe-bate-cate-cite-city;5 : babe-bate-beat-boat-coat;6 : gaby-goby-gory-cory-corn-coin;5 : babe-bale-bole-cole-cold;5 : babe-bare-care-carb-crab;4 : babe-bate-date-data;5 : babe-bake-beak-beck-deck;5 : babe-bare-dare-dere-deer;6 : gaby-gabs-dabs-dibs-diss-disc;6 : gaby-goby-doby-dory-dorr-door;5 : babe-bare-ware-ward-draw;6 : babe-bare-bard-burd-drub-drum;4 : babe-mabe-mace-face;4 : babe-bare-fare-fire;5 : babe-base-bash-fash-fish;5 : gaby-gabs-gals-slag-flag;6 : babe-bale-bole-bolt-boot-foot;5 : babe-bare-fare-fore-fort;6 : gaby-goby-gory-gorp-prog-frog;3 : gaby-gamy-game;3 : babe-bate-gate;4 : babe-bare-bear-gear;6 : gaby-goby-gory-gyro-giro-girl;5 : gaby-goby-gobs-goas-goat;5 : babe-bale-bole-bold-gold;6 : gaby-goby-gobs-goos-goof-golf;6 : babe-bale-hale-hall-hail-hair;4 : babe-bane-band-hand;4 : babe-bade-hade-head;5 : babe-bare-hare-here-hero;5 : babe-bale-hale-hall-hill;5 : babe-bale-hale-hole-holy;5 : babe-bade-bide-aide-idea;7 : gaby-goby-toby-tory-tori-nori-iron;6 : gaby-gamy-gamp-damp-dump-jump;5 : babe-bane-kane-kine-king;5 : babe-nabe-bean-lean-leaf;5 : gaby-gamy-game-lame-lime;6 : babe-bane-lane-line-linn-lion;6 : gaby-goby-gobo-lobo-loco-lock;5 : babe-nabe-nave-lave-love;6 : gaby-gabs-labs-lacs-lack-luck;5 : babe-mabe-male-mall-mail;4 : babe-mabe-mate-meat;5 : babe-mabe-male-mile-milk;6 : gaby-goby-gobs-mobs-moos-moon;5 : babe-base-bast-best-nest;5 : babe-nabe-name-nome-nose;5 : gaby-goby-gory-gore-ogre;4 : babe-bare-pare-park;4 : babe-bake-beak-peak;5 : babe-bale-pale-pile-pill;5 : babe-bake-bike-pike-pipe;6 : gaby-gabs-gals-guls-gulp-plug;5 : babe-bane-pane-pone-pond;5 : gaby-goby-toby-tony-pony;6 : babe-bale-pale-pole-poll-pool;8 : gaby-gabs-dabs-dais-said-qaid-quid-quiz;5 : babe-bale-ball-bail-rail;5 : babe-bane-bani-rani-rain;5 : babe-bane-bang-rang-ring;5 : babe-bade-bead-read-road;6 : gaby-goby-gory-cory-cork-rock;4 : babe-base-rase-rose;4 : babe-sabe-sane-sand;4 : babe-sabe-sale-seal;6 : gaby-gapy-gaps-haps-hips-ship;6 : gaby-goby-gobs-hobs-hoes-shoe;6 : gaby-goby-gobs-nobs-nows-snow;6 : gaby-gabs-sabs-sacs-sack-sock;5 : babe-sabe-sane-sone-song;5 : gaby-gabs-tabs-tars-star;4 : babe-bane-bank-tank;5 : gaby-gamy-game-tame-time;5 : babe-bare-brae-bree-tree;3 : babe-base-vase;4 : babe-bale-wale-wall;4 : babe-bare-ware-warm;4 : babe-nabe-nave-wave;5 : babe-bale-wale-wall-well;5 : babe-bane-wane-wine-wind;6 : babe-bale-rale-role-rolf-wolf;6 : gaby-goby-gobs-goos-woos-wood;5 : babe-bare-brae-bray-xray;4 : babe-bare-yare-yarn;6 : babe-bare-care-cere-cero-zero
ball;;;;;2 : bald-band;3 : bale-bare-bear;1 : bell;3 : bill-bile-bike;3 : bill-birl-bird;3 : boll-bolt-boat;4 : boll-bole-bode-body;5 : boll-bolt-boot-boob-bomb;3 : boll-bole-bone;4 : boll-bolt-boot-book;4 : bull-bulk-busk-bush;3 : call-carl-card;4 : call-calk-cask-cash;5 : call-calm-clam-cham-chat;5 : pall-pill-pily-pity-city;4 : call-calo-coal-coat;4 : boll-boil-coil-coin;3 : boll-bold-cold;4 : call-carl-carb-crab;4 : bale-dale-date-data;4 : balk-back-beck-deck;5 : sall-sell-seel-seer-deer;5 : bill-bilk-bisk-disk-disc;5 : mall-moll-mool-moor-door;4 : bawl-blaw-braw-draw;5 : mall-maul-alum-arum-drum;4 : fall-farl-fare-face;4 : fall-fill-file-fire;5 : bale-base-bash-fash-fish;4 : fall-falx-flax-flag;4 : boll-bolt-boot-foot;4 : fall-farl-fart-fort;6 : fall-farl-fare-fore-froe-frog;3 : gall-gale-game;3 : gall-gale-gate;4 : bale-rale-rage-gear;3 : gall-gill-girl;4 : gall-gaol-goal-goat;3 : boll-bold-gold;4 : gall-gull-gulf-golf;3 : hall-hail-hair;3 : bald-band-hand;4 : hall-hell-heal-head;4 : hall-hell-herl-hero;2 : hall-hill;4 : hall-hale-hole-holy;5 : pall-pale-plea-ilea-idea;5 : boll-boil-noil-noir-iron;5 : pall-pull-pulp-pump-jump;5 : bill-kill-kilo-kino-king;4 : fall-fell-feal-leaf;4 : mall-mill-mile-lime;4 : boll-boil-noil-lion;4 : call-calk-lack-lock;4 : boll-bole-vole-love;4 : call-calk-lack-luck;2 : mall-mail;4 : mall-mell-meal-meat;3 : mall-mill-milk;4 : mall-moll-mool-moon;4 : bell-belt-best-nest;5 : hall-hale-hole-hose-nose;5 : boll-bole-bore-gore-ogre;3 : balk-bark-park;4 : pall-pale-peal-peak;2 : pall-pill;4 : pall-pill-pile-pipe;4 : gall-gull-gulp-plug;4 : boll-bold-bond-pond;4 : pall-poll-poly-pony;3 : pall-poll-pool;6 : mall-mail-maid-qaid-quid-quiz;2 : bail-rail;3 : bail-rail-rain;5 : gall-gill-girl-girn-ring;5 : gall-gaol-goal-goad-road;4 : balk-back-rack-rock;4 : boll-roll-role-rose;3 : bald-band-sand;3 : sall-sell-seal;5 : pall-pals-slap-slip-ship;5 : hall-hale-hole-hose-shoe;5 : boll-bowl-bows-nows-snow;4 : balk-back-sack-sock;5 : sall-sale-sole-sone-song;4 : bals-bars-tars-star;3 : tall-talk-tank;4 : tall-till-tile-time;5 : bale-rale-rate-rete-tree;3 : bale-vale-vase;1 : wall;3 : balm-barm-warm;3 : wall-wale-wave;2 : wall-well;4 : wall-will-wild-wind;4 : boll-roll-rolf-wolf;4 : boll-bold-wold-wood;5 : pall-paly-play-pray-xray;4 : call-carl-carn-yarn;5 : hall-hell-herl-hero-zero
band;;;;;;3 : bend-bead-bear;3 : bald-ball-bell;3 : bind-bine-bike;2 : bind-bird;4 : bend-bead-beat-boat;3 : bond-bony-body;5 : bond-bonk-book-boob-bomb;2 : bond-bone;3 : bond-bonk-book;4 : bund-bunk-busk-bush;2 : bard-card;4 : bane-cane-case-cash;5 : hand-hank-khan-khat-chat;5 : bind-bine-cine-cite-city;5 : bend-bead-beat-boat-coat;5 : land-laid-caid-cain-coin;3 : bond-bold-cold;3 : bard-drab-crab;4 : bane-bate-date-data;4 : bank-back-beck-deck;4 : rand-rend-reed-deer;5 : sand-said-skid-disk-disc;5 : bond-fond-food-rood-door;3 : wand-ward-draw;4 : bund-burd-drub-drum;3 : bane-fane-face;4 : bind-find-fine-fire;5 : bane-base-bash-fash-fish;5 : land-lane-elan-flan-flag;4 : bond-fond-food-foot;4 : bond-fond-ford-fort;5 : bard-brad-brag-frag-frog;3 : bane-gane-game;3 : bane-gane-gate;4 : rand-rang-gnar-gear;4 : bind-bird-gird-girl;4 : bang-tang-gnat-goat;3 : bond-bold-gold;4 : bond-bold-gold-golf;4 : hand-hank-haik-hair;1 : hand;3 : hand-haed-head;4 : hand-hard-herd-hero;4 : bald-ball-hall-hill;4 : bond-bold-hold-holy;5 : sand-said-aids-aide-idea;5 : bind-kind-kino-ikon-iron;5 : bund-burd-burp-bump-jump;3 : bind-kind-king;4 : land-lend-lead-leaf;4 : land-lane-line-lime;5 : land-lend-leno-lino-lion;4 : land-lank-lack-lock;4 : land-lane-lone-love;4 : land-lank-lunk-luck;4 : land-laid-maid-mail;4 : bend-mend-mead-meat;4 : bind-mind-mild-milk;5 : wand-dawn-mawn-mown-moon;4 : sand-send-sent-nest;4 : sand-sane-sone-nose;5 : bond-bone-gone-gore-ogre;3 : bard-pard-park;4 : bend-bead-beak-peak;4 : bald-ball-pall-pill;4 : bind-bine-pine-pipe;6 : sand-sang-sung-snug-slug-plug;2 : bond-pond;3 : bond-pond-pony;4 : bond-pond-pood-pool;5 : land-laid-qaid-quid-quiz;3 : rand-raid-rail;3 : rand-raid-rain;3 : rand-rind-ring;4 : rand-rend-read-road;4 : rand-rank-rack-rock;4 : bane-base-rase-rose;1 : sand;4 : land-lane-lase-seal;5 : hand-hind-hins-hips-ship;5 : hand-haed-hoed-hoes-shoe;4 : wand-wans-wons-snow;4 : sand-sank-sack-sock;3 : sand-sang-song;4 : bard-bars-tars-star;2 : bank-tank;4 : bind-bine-tine-time;5 : rand-rend-reed-dree-tree;3 : bane-vane-vase;3 : bald-ball-wall;3 : wand-ward-warm;3 : wand-wane-wave;4 : wand-wend-weld-well;2 : wand-wind;4 : bond-bold-wold-wolf;4 : wand-ward-word-wood;4 : bard-yard-dray-xray;3 : rand-darn-yarn;5 : hand-hard-herd-hero-zero
bear;;;;;;;3 : beat-belt-bell;3 : beak-bake-bike;3 : bare-bard-bird;2 : boar-boat;4 : boar-boas-bods-body;4 : boar-boor-boob-bomb;3 : bean-bane-bone;3 : boar-boor-book;4 : beat-best-bust-bush;3 : bare-care-card;4 : sear-rase-case-cash;4 : pear-peat-phat-chat;5 : tear-rate-cate-cite-city;3 : boar-boat-coat;5 : lear-lean-loan-loin-coin;5 : hear-head-held-hold-cold;4 : bead-brad-drab-crab;4 : dear-dare-date-data;3 : beak-beck-deck;2 : dear-deer;6 : dear-deer-dees-dies-diss-disc;3 : boar-boor-door;3 : brae-braw-draw;5 : tear-team-tram-dram-drum;3 : fear-fare-face;3 : fear-fare-fire;5 : fear-fiar-fiat-fist-fish;4 : fear-feat-flat-flag;4 : boar-boor-boot-foot;4 : fear-fare-fore-fort;4 : fear-frae-froe-frog;4 : dear-dare-dame-game;3 : tear-rate-gate;1 : gear;5 : dear-deal-dial-dirl-girl;3 : boar-boat-goat;5 : dear-read-road-goad-gold;5 : lear-rale-role-rolf-golf;3 : hear-haar-hair;4 : hear-head-haed-hand;2 : hear-head;4 : hear-hoar-hoer-hero;4 : hear-heal-hell-hill;5 : hear-head-held-hold-holy;5 : fear-feal-flea-ilea-idea;6 : sear-soar-sora-sori-nori-iron;5 : hear-heap-hemp-hump-jump;5 : gear-gnar-rang-ring-king;2 : lear-leaf;5 : dear-deal-meal-lame-lime;5 : lear-liar-lier-lien-lion;4 : beak-beck-bock-lock;4 : bare-bore-lore-love;4 : beak-beck-buck-luck;4 : lear-liar-rail-mail;2 : beat-meat;5 : lear-rale-male-mile-milk;4 : boar-boor-moor-moon;3 : near-neat-nest;4 : sear-rase-rose-nose;4 : bare-bore-gore-ogre;3 : pear-pare-park;2 : pear-peak;4 : pear-peal-pial-pill;4 : pear-rape-ripe-pipe;6 : lear-leas-legs-lugs-slug-plug;4 : bead-bend-pend-pond;5 : near-neap-pane-pone-pony;4 : boar-boor-poor-pool;6 : dear-dead-duad-quad-quid-quiz;3 : lear-liar-rail;4 : lear-liar-rail-rain;4 : gear-gnar-rang-ring;3 : dear-read-road;4 : beak-beck-reck-rock;3 : sear-rase-rose;4 : bead-bend-send-sand;2 : sear-seal;5 : sear-seam-sham-shim-ship;5 : hear-hoar-hoer-hoes-shoe;5 : gear-gnar-gnaw-snaw-snow;4 : sear-soar-soak-sock;5 : gear-gnar-rang-sang-song;2 : sear-star;4 : bean-bane-bank-tank;4 : tear-team-tame-time;3 : beer-bree-tree;3 : sear-rase-vase;4 : lear-rale-wale-wall;3 : wear-ware-warm;3 : wear-ware-wave;3 : wear-weal-well;4 : bead-bend-wend-wind;5 : fear-feal-foal-fowl-wolf;5 : dear-read-road-woad-wood;3 : brae-bray-xray;3 : near-earn-yarn;4 : year-aery-aero-zero
bell;;;;;;;;3 : bill-bile-bike;3 : bill-birl-bird;3 : boll-bolt-boat;4 : boll-bole-bode-body;5 : boll-bolt-boot-boob-bomb;3 : boll-bole-bone;4 : boll-bolt-boot-book;4 : bull-bulk-busk-bush;4 : cell-call-carl-card;5 : cell-call-calk-cask-cash;5 : cell-celt-colt-coat-chat;5 : bill-pill-pily-pity-city;4 : cell-celt-colt-coat;4 : cell-ceil-coil-coin;3 : boll-bold-cold;5 : cell-call-carl-carb-crab;5 : dell-deal-dale-date-data;5 : ball-balk-back-beck-deck;4 : dell-deal-dear-deer;5 : bill-bilk-bisk-disk-disc;5 : mell-moll-mool-moor-door;5 : ball-bawl-blaw-braw-draw;5 : bull-burl-burd-drub-drum;5 : cell-ceil-lice-fice-face;4 : fell-fill-file-fire;6 : fell-fill-fils-fits-fist-fish;5 : fell-fall-falx-flax-flag;4 : boll-bolt-boot-foot;4 : boll-bolt-bort-fort;6 : fell-feal-fear-frae-froe-frog;4 : mell-meal-lame-game;4 : tell-teal-late-gate;4 : dell-deal-dear-gear;3 : bill-gill-girl;4 : boll-bolt-boat-goat;3 : boll-bold-gold;4 : boll-roll-rolf-golf;4 : hell-hall-hail-hair;4 : ball-bald-band-hand;3 : hell-heal-head;3 : hell-herl-hero;2 : hell-hill;4 : hell-held-hold-holy;5 : fell-feal-flea-ilea-idea;5 : boll-boil-noil-noir-iron;5 : hell-help-hemp-hump-jump;5 : bill-kill-kilo-kino-king;3 : fell-feal-leaf;4 : cell-ceil-lice-lime;4 : boll-boil-noil-lion;5 : cell-call-calk-lack-lock;4 : boll-bole-vole-love;4 : bull-bulk-buck-luck;3 : mell-mall-mail;3 : mell-meal-meat;3 : mell-mill-milk;4 : mell-moll-mool-moon;3 : belt-best-nest;5 : dell-doll-dole-dose-nose;5 : boll-bole-bore-gore-ogre;4 : ball-balk-bark-park;4 : dell-deal-peal-peak;2 : bill-pill;4 : bill-pill-pile-pipe;4 : bull-gull-gulp-plug;4 : boll-bold-bond-pond;4 : boll-poll-poly-pony;3 : boll-poll-pool;7 : dell-dill-dial-laid-qaid-quid-quiz;3 : ball-bail-rail;4 : ball-bail-rail-rain;5 : bill-gill-girl-girn-ring;5 : dell-deal-real-read-road;5 : yell-yelk-yolk-yock-rock;4 : boll-roll-role-rose;4 : ball-bald-band-sand;2 : sell-seal;6 : dell-dels-sled-slid-slip-ship;5 : hell-helo-hole-hose-shoe;5 : boll-bowl-bows-nows-snow;5 : sell-sill-silk-sick-sock;5 : sell-sels-sols-sons-song;4 : sell-seal-sear-star;4 : tell-tall-talk-tank;4 : tell-till-tile-time;5 : dell-dele-dere-dree-tree;4 : sell-seal-lase-vase;2 : well-wall;4 : ball-balm-barm-warm;4 : well-wall-wale-wave;1 : well;4 : well-will-wild-wind;4 : well-weld-wold-wolf;4 : well-weld-wold-wood;5 : belt-beat-brat-bray-xray;5 : cell-call-carl-carn-yarn;4 : hell-herl-hero-zero
bike;;;;;;;;;3 : bine-bind-bird;4 : bake-bate-beat-boat;3 : bide-bode-body;5 : tike-toke-tome-tomb-bomb;2 : bine-bone;4 : bine-bone-bonk-book;4 : bake-base-bash-bush;4 : bake-cake-care-card;4 : bake-cake-case-cash;5 : tike-take-tace-tach-chat;3 : bite-cite-city;5 : tike-take-tace-taco-coat;5 : like-lice-ceil-coil-coin;4 : bile-bole-cole-cold;5 : bake-cake-care-carb-crab;4 : dike-dite-date-data;4 : dike-dice-dick-deck;4 : dike-deke-dere-deer;4 : bise-bisk-disk-disc;5 : dike-dire-dore-dorr-door;5 : bake-wake-ware-ward-draw;6 : dike-dire-dore-dorm-doum-drum;3 : bake-fake-face;3 : dike-dire-fire;4 : bise-wise-wish-fish;6 : like-lake-lane-elan-flan-flag;5 : bile-bole-bolt-boot-foot;5 : dike-dire-fire-fore-fort;6 : dike-dire-fire-fore-froe-frog;4 : dike-dime-dame-game;3 : bake-bate-gate;4 : bake-rake-rage-gear;4 : dike-dire-dirl-girl;5 : bake-bate-beat-boat-goat;4 : bile-bole-bold-gold;5 : bile-rile-role-rolf-golf;4 : hike-hire-heir-hair;4 : bake-bane-band-hand;4 : hike-hake-hade-head;4 : hike-hire-here-hero;3 : bile-bill-hill;4 : hike-hoke-hole-holy;3 : bide-aide-idea;5 : kike-kine-kino-ikon-iron;5 : like-lime-limp-jimp-jump;3 : kike-kine-king;4 : like-lake-leak-leaf;2 : like-lime;4 : like-lime-limn-lion;4 : like-lice-lick-lock;3 : like-live-love;4 : like-lice-luce-luck;4 : like-lime-lima-mail;4 : mike-make-mate-meat;3 : mike-mile-milk;5 : mike-moke-more-morn-moon;5 : sike-sine-sene-sent-nest;4 : hike-hoke-hose-nose;5 : dike-dire-dore-gore-ogre;4 : pike-pika-paik-park;3 : bake-beak-peak;3 : pike-pile-pill;2 : pike-pipe;6 : like-lime-limp-lump-plum-plug;4 : pike-poke-pone-pond;4 : pike-poke-pone-pony;5 : pike-poke-pole-poll-pool;7 : dike-duke-duce-duct-duit-quit-quiz;4 : like-lire-lira-rail;5 : kike-kine-kina-kain-rain;4 : dike-dine-ding-ring;5 : dike-dire-dare-read-road;4 : bice-rice-rick-rock;3 : bise-rise-rose;4 : sike-sake-sane-sand;4 : like-lake-lase-seal;5 : pike-pine-pins-snip-ship;4 : hike-hoke-hose-shoe;5 : bine-wine-wins-wons-snow;4 : sike-sice-sick-sock;4 : sike-soke-sone-song;5 : tike-take-tare-tars-star;4 : bake-bane-bank-tank;2 : tike-time;4 : tike-tyke-tyee-tree;3 : bake-base-vase;4 : bake-wake-wale-wall;4 : bake-wake-ware-warm;3 : bake-wake-wave;4 : bile-wile-will-well;3 : bine-wine-wind;5 : bile-rile-role-rolf-wolf;5 : bile-wile-wild-wold-wood;5 : bake-bare-brae-bray-xray;4 : bake-bare-yare-yarn;5 : hike-hire-here-hero-zero
